Nome,Versao,Downloads,Data
boto3,1.26.25,-1,2022-12-07T20:44:56
botocore,1.29.25,-1,2022-12-07T20:44:41
urllib3,1.26.13,-1,2022-11-23T22:34:32
requests,2.28.1,-1,2022-06-29T15:13:42
setuptools,65.6.3,-1,2022-11-24T06:09:30
s3transfer,0.6.0,-1,2022-05-31T19:44:53
google-api-core,2.11.0,-1,2022-12-01T15:31:54
charset-normalizer,3.0.1,-1,2022-11-18T08:16:25
idna,3.4,-1,2022-09-14T00:24:27
typing-extensions,4.4.0,-1,2022-10-06T22:40:03
certifi,2022.12.7,-1,2022-12-07T20:13:22
python-dateutil,2.8.2,-1,2021-07-14T08:19:19
wheel,0.38.4,-1,2022-11-09T20:43:51
six,1.16.0,-1,2021-05-05T14:18:18
PyYAML,6.0,-1,2021-10-13T19:39:45
awscli,1.27.25,-1,2022-12-07T20:44:49
cryptography,38.0.4,-1,2022-11-27T19:01:46
pip,22.3.1,-1,2022-11-05T15:56:20
numpy,1.23.5,-1,2022-11-20T01:21:43
pyparsing,3.0.9,-1,2022-05-10T23:26:05
packaging,22.0,-1,2022-12-07T23:18:13
importlib-metadata,5.1.0,-1,2022-11-24T14:39:00
protobuf,4.21.11,-1,2022-12-08T08:20:47
zipp,3.11.0,-1,2022-11-25T18:12:51
rsa,4.9,-1,2022-07-20T10:28:36
jmespath,1.0.1,-1,2022-06-17T18:00:12
pytz,2022.6,-1,2022-10-31T23:58:44
colorama,0.4.6,-1,2022-10-25T02:36:22
pyasn1,0.4.8,-1,2019-11-16T17:27:16
PyJWT,2.6.0,-1,2022-10-20T01:09:12
pandas,1.5.2,-1,2022-11-23T05:49:30
attrs,22.1.0,-1,2022-07-28T13:20:29
cffi,1.15.1,-1,2022-06-30T18:15:12
click,8.1.3,-1,2022-04-28T17:36:09
oauthlib,3.2.2,-1,2022-10-17T20:04:27
Jinja2,3.1.2,-1,2022-04-28T17:21:27
MarkupSafe,2.1.1,-1,2022-03-15T13:22:09
pycparser,2.21,-1,2021-11-06T12:48:46
aiobotocore,2.4.1,-1,2022-11-29T07:36:11
requests-oauthlib,1.3.1,-1,2022-01-29T18:52:24
docutils,0.19,-1,2022-07-05T20:17:31
google-auth,2.15.0,-1,2022-12-01T20:44:14
psutil,5.9.4,-1,2022-11-07T18:44:28
fsspec,2022.11.0,-1,2022-11-10T02:26:29
wrapt,1.14.1,-1,2022-05-02T05:26:15
pyarrow,10.0.1,-1,2022-11-22T22:14:51
googleapis-common-protos,1.57.0,-1,2022-11-15T20:00:56
s3fs,2022.11.0,-1,2022-11-10T02:37:49
cachetools,5.2.0,-1,2022-05-29T20:53:07
pyasn1-modules,0.2.8,-1,2020-01-09T17:23:53
